text,label
"You are such an idiot","toxic"
"That idea doesn’t make sense","neutral"
"Shut up and stop talking","toxic"
"I disagree, but that’s okay","neutral"
"Stop interrupting everyone please","warning"
"Let’s stay on topic","neutral"
"You sound so dumb right now","toxic"
"That’s the worst argument ever","toxic"
"I think you’re misunderstanding my point","neutral"
"This debate is pointless","toxic"
"Calm down and listen for a moment","warning"
"You keep cutting people off","warning"
"Please don’t talk over others","warning"
"You have no clue what you’re saying","toxic"
"That was a poor explanation","neutral"
"Your logic is flawed","neutral"
"You’re completely wrong and stupid","toxic"
"Good point, I didn’t consider that","neutral"
"Try to explain it clearly","neutral"
"You never listen to anyone","toxic"
"This discussion is useless","toxic"
"I think that’s an unfair statement","neutral"
"Don’t be rude, just explain your side","warning"
"You’re acting immature","toxic"
"I strongly disagree but I respect your view","neutral"
"Let’s not make this personal","neutral"
"That’s an offensive comment","toxic"
"Be respectful to others while debating","warning"
"You don’t know anything about this","toxic"
"I didn’t mean to offend anyone","neutral"
"Let’s move to the next topic","neutral"
"You’re completely clueless","toxic"
"Please let others speak","warning"
"You should think before you talk","toxic"
"That wasn’t a nice way to say it","warning"
"Can we focus on the facts","neutral"
"You’re making false assumptions","neutral"
"That’s a dumb statement","toxic"
"You’re getting too aggressive","toxic"
"Try to calm down and respond politely","warning"
"That’s your opinion and I disagree","neutral"
"Stop shouting and be polite","warning"
"You are being very disrespectful","toxic"
"That’s not a valid argument","neutral"
"Don’t insult others while debating","warning"
"You’re twisting my words","toxic"
"Please don’t raise your voice","warning"
"I understand your point of view","neutral"
"That’s actually a good counterpoint","neutral"
"You’re being unnecessarily rude","toxic"
"Let’s take turns to speak","neutral"
"Your comments are getting offensive","toxic"
"You’re attacking the person, not the argument","toxic"
"Could you clarify your reasoning","neutral"
"That statement was too harsh","warning"
"Don’t interrupt when others are talking","warning"
"You sound angry, maybe take a pause","warning"
"You are out of line","toxic"
"You always act like you’re right","toxic"
"You’re full of nonsense","toxic"
"I appreciate your perspective","neutral"
"That was a well-structured argument","neutral"
"You’re being childish","toxic"
"Please control your tone","warning"
"You have no respect for others","toxic"
"I respectfully disagree","neutral"
"Your attitude is toxic","toxic"
"That’s a mean thing to say","toxic"
"You’re crossing the line now","toxic"
"We can discuss this calmly","neutral"
"You need to behave properly","warning"
"That’s not constructive criticism","warning"
"You don’t have to insult people","toxic"
"Let’s hear what the others think","neutral"
"You’re making it personal","toxic"
"Can you rephrase that more politely","warning"
"This isn’t about attacking each other","neutral"
"Your tone is too aggressive","toxic"
"Please keep your voice down","warning"
"You’re making everyone uncomfortable","toxic"
"That was disrespectful","toxic"
"I didn’t appreciate that remark","warning"
"This conversation is getting heated","warning"
"That’s not true and you know it","toxic"
"Let’s end this topic here","neutral"
"That’s a poor argument but fair try","neutral"
"You’re overreacting","toxic"
"You’re being condescending","toxic"
"We should focus on reasoning","neutral"
"Don’t get personal","warning"
"I get your point, let’s move on","neutral"
"You don’t make any sense","toxic"
"That was uncalled for","toxic"
"Calm down, it’s just a debate","warning"
"You’re being very harsh","toxic"
"Please show some respect","warning"
"I think you’re being too sensitive","neutral"
"That’s an unfair assumption","neutral"
"This behavior is unacceptable","toxic"
"You’re making baseless claims","toxic"
"I respect your opinion","neutral"
